run_id,source,image_name,wavelet,levels,y_thresh,c_thresh,y_quant,c_quant,chromasub,psnr_rgb,ssim_rgb,psnr_grey,ssim_grey,psnr_r,psnr_g,psnr_b,ssim_r,ssim_g,ssim_b,mae_rgb,max_abs_error,compression_ratio,bits_per_pixel,job_size_bytes,runtime_seconds,y_total_values,cb_total_values,cr_total_values,y_encoded_count,cb_encoded_count,cr_encoded_count
sweep_in_memory_IMG_5138_20260320_002509_997443_3ed83fa6,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.1,0.1,12,12,04:04:04,21.71307860359756,0.5982249402583893,21.731502232472227,0.5921012527478977,21.483952530483418,21.63467880648678,22.039428556942205,0.5874146423722891,0.5851269779093716,0.6221332004935073,11.124732218311708,243,470.10016578632843,0.051053870622323,77811,16.896121917001437,12280812,12280812,12280812,11413,13742,13708
sweep_in_memory_IMG_5138_20260320_002510_047191_a5a9a391,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.1,0.1,12,12,04:02:02,21.667541956271794,0.5975606497144971,21.73055178012527,0.5920768377319285,21.458718991153578,21.63151069791872,21.92513864191952,0.5876632978636254,0.5846145737253817,0.6204040775544842,11.210986217403628,242,707.8931743850753,0.03390403229192912,51673,14.771856208000827,12280812,6159354,6159354,11413,7221,7160
sweep_in_memory_IMG_5138_20260320_002513_445776_90cafcf2,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.11,0.11,4,4,04:02:00,21.06607488724776,0.5668787175129985,21.31639165305088,0.5854245584858102,20.96117972543183,21.153601017663973,21.085641044780658,0.5693071157972089,0.555619946560752,0.5757090901810343,13.759106928522439,252,986.2483216047884,0.02433508125472411,37089,12.956280166999932,12280812,3092718,3092718,10852,3828,3822
sweep_in_memory_IMG_5138_20260320_002513_920918_9cb1e05d,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.11,0.11,4,4,04:04:04,21.108352362738376,0.5726513901055955,21.304454666860547,0.5960901860774599,20.881494787111606,21.14101489765336,21.313467900179546,0.5695319943278583,0.5721917915771049,0.5762303844118233,13.725485522784217,251,477.20198818050176,0.05029407596371882,76653,16.325014916001237,12280812,12280812,12280812,10852,13724,13708
sweep_in_memory_IMG_5138_20260320_002515_413447_450641ca,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.11,0.11,4,4,04:02:02,21.05369672532161,0.5735389105272165,21.297037330716968,0.5950861079983315,20.85242566209953,21.139753903140544,21.176206209356625,0.5693241694094838,0.5717826027173074,0.5795099594548584,13.83758689303911,255,725.5283733661265,0.0330799372218023,50417,14.988205292000202,12280812,6159354,6159354,10852,7157,7157
sweep_in_memory_IMG_5138_20260320_002517_885899_f90f823a,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.11,0.11,5,5,04:04:04,21.463390520956306,0.5901571809176241,21.51862515502519,0.5972097412007469,21.252045286232697,21.40669620398822,21.7460293998926,0.5799563576983401,0.573162915440753,0.6173522696137792,12.105433729240152,253,477.0277382924062,0.050312447509868144,76681,17.137688375001744,12280812,12280812,12280812,10866,13724,13708
sweep_in_memory_IMG_5138_20260320_002517_925095_b6e743e0,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.11,0.11,5,5,04:02:00,21.373480597472145,0.5912625934629882,21.505266839211213,0.5855558455248826,21.200629979185134,21.392468748795437,21.533793122175872,0.5845338219535957,0.5768161322807405,0.6124378261546283,12.220061105074747,250,985.5043241641297,0.024353452800873435,37117,13.226849458998913,12280812,3092718,3092718,10866,3828,3822
sweep_in_memory_IMG_5138_20260320_002518_407305_27b4d933,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.11,0.11,5,5,04:02:02,21.407803410016015,0.5828625433172813,21.51305236787698,0.5948733205335741,21.23388455701757,21.395586399801108,21.601752821151585,0.5783128273752433,0.5770102242524912,0.5932645783241095,12.239782795834383,253,725.1256616116563,0.033098308767951626,50445,13.968643207997957,12280812,6159354,6159354,10866,7157,7157
sweep_in_memory_IMG_5138_20260320_002521_454876_e76df733,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.11,0.11,6,6,04:04:04,21.53316682408631,0.592665420039895,21.55157758594637,0.5872509535827657,21.303176726431346,21.451556951138482,21.864026062125014,0.586601332051092,0.5785490041619257,0.6128459239066673,11.65394841707259,255,477.0028558388212,0.050315072016460904,76685,16.253779667000344,12280812,12280812,12280812,10868,13724,13708
sweep_in_memory_IMG_5138_20260320_002522_855603_14ac4964,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.11,0.11,6,6,04:02:00,21.447261610184484,0.5928379125823859,21.558819428159282,0.5943332978249339,21.261792162631412,21.451967335223365,21.63609146152083,0.5834371807720684,0.5826003694598655,0.6124761875152237,11.752012914540817,253,985.3981304382963,0.024356077307466195,37121,12.853409334002208,12280812,3092718,3092718,10868,3828,3822
sweep_in_memory_IMG_5138_20260320_002524_315564_454424db,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.11,0.11,6,6,04:02:02,21.47941698622949,0.5934019561465219,21.554414601247203,0.5867505508671449,21.279584208194933,21.449382129645926,21.720634078129798,0.5861813012840822,0.5781229334954785,0.6159016336600052,11.75217186122134,255,724.8957412655318,0.03310880679432267,50461,14.620741207996616,12280812,6159354,6159354,10868,7163,7157
sweep_in_memory_IMG_5138_20260320_002526_105788_d6818db5,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.11,0.11,7,7,04:04:04,21.55284782940815,0.5926447184549284,21.569254600599056,0.5876643711041013,21.32285662450871,21.466971904487263,21.888404253648407,0.5800340521774245,0.5789665749579742,0.6189335282293863,11.442661967050194,255,476.96553702520504,0.050319008776350045,76691,16.049175166001078,12280812,12280812,12280812,10871,13724,13708
sweep_in_memory_IMG_5138_20260320_002527_705594_0550c1c1,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.11,0.11,7,7,04:02:02,21.506348619505676,0.5932445219100432,21.568880331680127,0.5889495328451289,21.302337524047896,21.46485734555796,21.764436486471222,0.5824615155898997,0.5797091152107884,0.6175629349294415,11.514917230716875,255,724.1208353954271,0.033144237633324934,50515,14.24911766600053,12280812,6159354,6159354,10871,7187,7157
sweep_in_memory_IMG_5138_20260320_002527_731267_55b9eade,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.11,0.11,7,7,04:02:00,21.46966531472815,0.5919831391740784,21.56880212037037,0.5884183220763507,21.279512519657455,21.463304699794055,21.675195196076807,0.5811414207841803,0.578456978420955,0.6163510183171,11.558488879090731,253,984.7614483779782,0.024371824347022758,37145,13.80203495800015,12280812,3092718,3092718,10871,3837,3822
sweep_in_memory_IMG_5138_20260320_002531_755779_df9fd66d,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.11,0.11,8,8,04:02:00,21.473698570093156,0.5922956943178036,21.57088763475678,0.5877909179547186,21.283113564149822,21.46603965747522,21.681065718056075,0.5819051593843172,0.5782164802853174,0.6167654432837764,11.534213669392654,253,984.7614483779782,0.024371824347022758,37145,13.825429249998706,12280812,3092718,3092718,10871,3837,3822
sweep_in_memory_IMG_5138_20260320_002531_754266_0526c9fa,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.11,0.11,8,8,04:04:04,21.55941186686217,0.5931782402723028,21.571322073007423,0.5876221132913879,21.32712300247848,21.469662456407363,21.901861780847,0.5808338497633919,0.5790574295493571,0.6196434415041594,11.376237345504045,255,476.96553702520504,0.050319008776350045,76691,16.335091332999582,12280812,12280812,12280812,10871,13724,13708
sweep_in_memory_IMG_5138_20260320_002532_054012_ff256592,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.11,0.11,8,8,04:02:02,21.512562681327232,0.5924147259139665,21.570671089395766,0.5876880700603893,21.301874167211338,21.46671866339028,21.78276616678066,0.5808263670439751,0.5786091973433114,0.6178086133546129,11.469743157036477,255,723.8629014703263,0.033156047912992356,50533,14.156463457999052,12280812,6159354,6159354,10871,7196,7157
sweep_in_memory_IMG_5138_20260320_002535_113188_6b57ae9c,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.11,0.11,9,9,04:02:02,21.514733360047043,0.59241866958277,21.57070368769289,0.5871316591153137,21.303035315115196,21.46693207116071,21.78817141214951,0.5811107882617365,0.5780115814386794,0.6181336390478942,11.46007545893872,255,723.6910475813631,0.03316392143277064,50545,13.653628000000026,12280812,6159354,6159354,10871,7202,7157
sweep_in_memory_IMG_5138_20260320_002535_487529_d5ea7529,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.11,0.11,9,9,04:04:04,21.55998478346215,0.5930058407234009,21.57147002656862,0.5870882637738108,21.327705284126743,21.470066746917947,21.90261028523798,0.5808019119585612,0.5785879579856493,0.6196276522259924,11.371277848202038,255,476.96553702520504,0.050319008776350045,76691,17.07320508399789,12280812,12280812,12280812,10871,13724,13708
sweep_in_memory_IMG_5138_20260320_002535_693187_b3baa9d6,sweep_in_memory_IMG_5138,IMG_5138.tiff,sym4,5,0.11,0.11,9,9,04:02:00,21.477277134426828,0.5921776479878867,21.570873067507396,0.5875936470085706,21.283197862932667,21.466050961470824,21.69223189387068,0.5816200595799325,0.5779369898447276,0.6169758945390003,11.52186974005137,253,984.4434157763005,0.024379697866801043,37157,12.81923362499947,12280812,3092718,3092718,10871,3843,3822
